code,name,category,base_unit,kcal,protein_g,carbohydrate_g,fat_g,fiber_g,atwater_estimate_kcal,atwater_delta_kcal,used_in_plan,occurrence_days,food_state,state_review_required,aliases,conversion_count,provenance_granularity,optional_nutrients_present,audit_status
cannellini,cannellini cotti e sgocciolati,Legumi e conserve,g,127.0,8.7,22.8,0.5,6.4,130.5,-3.5,True,2,drained,False,,0,dataset_level,0,core_ready
carciofo,carciofi,Ortofrutta,g,47.0,3.3,10.5,0.2,5.4,57.0,-10.0,True,18,unspecified,True,,0,dataset_level,0,review_state
carota,carote,Ortofrutta,g,41.0,0.9,9.6,0.2,2.8,43.8,-2.8,True,38,unspecified,True,,0,dataset_level,0,review_state
castagna,castagne arrostite,Frutta secca e semi,g,200.0,3.0,44.0,1.5,5.0,201.5,-1.5,False,0,prepared,False,,0,dataset_level,0,core_ready
cavoletti,cavoletti di Bruxelles,Ortofrutta,g,43.0,3.4,9.0,0.3,3.8,52.3,-9.3,False,0,unspecified,True,,0,dataset_level,0,review_state
cavolfiore,cavolfiore,Ortofrutta,g,25.0,1.9,5.0,0.3,2.0,30.3,-5.3,True,35,unspecified,True,,0,dataset_level,0,review_state
cavolo_cappuccio,cavolo cappuccio,Ortofrutta,g,25.0,1.3,5.8,0.1,2.5,29.3,-4.3,False,0,unspecified,True,,0,dataset_level,0,review_state
cavolo_nero,cavolo nero,Ortofrutta,g,49.0,4.3,8.8,0.9,3.6,60.5,-11.5,False,0,unspecified,True,,0,dataset_level,0,review_state
ceci,ceci cotti e sgocciolati,Legumi e conserve,g,164.0,8.9,27.0,2.6,7.6,167.0,-3.0,True,2,drained,False,,0,dataset_level,0,core_ready
cetriolo,cetriolo senza buccia e semi,Ortofrutta,g,15.0,0.7,3.6,0.1,0.5,18.1,-3.1,True,22,unspecified,True,,0,dataset_level,0,review_state
cicoria,cicoria,Ortofrutta,g,23.0,1.7,4.7,0.3,4.0,28.3,-5.3,False,0,unspecified,True,,0,dataset_level,0,review_state
cipolla,cipolla,Ortofrutta,g,40.0,1.1,9.3,0.1,1.7,42.5,-2.5,False,0,unspecified,True,,0,dataset_level,0,review_state
coniglio,coniglio disossato,Carne e affettati,g,136.0,21.0,0.0,5.0,0.0,129.0,7.0,True,8,unspecified,True,,0,dataset_level,0,review_state
cornflakes,fiocchi di mais semplici,"Cereali, pane e derivati",g,357.0,7.0,84.0,0.4,3.0,367.6,-10.6,True,15,unspecified,True,,0,dataset_level,0,review_state
couscous,couscous di semola secco,"Cereali, pane e derivati",g,360.0,12.0,72.0,1.5,3.0,349.5,10.5,True,7,dry,False,,0,dataset_level,0,core_ready
couscous_integrale,couscous integrale secco,"Cereali, pane e derivati",g,350.0,13.0,67.0,2.5,8.0,342.5,7.5,True,1,dry,False,,0,dataset_level,0,core_ready
cozze,"cozze, parte edibile",Pesce,g,86.0,12.0,3.7,2.2,0.0,82.6,3.4,False,0,unspecified,True,,0,dataset_level,0,review_state
crackers,crackers classici,"Cereali, pane e derivati",g,430.0,9.0,72.0,12.0,3.0,432.0,-2.0,True,62,unspecified,True,,0,dataset_level,0,review_state
crackers_integrali,crackers integrali,"Cereali, pane e derivati",g,430.0,10.0,68.0,13.0,6.0,429.0,1.0,False,0,unspecified,True,,0,dataset_level,0,review_state
fagiolini,fagiolini,Ortofrutta,g,31.0,1.8,7.0,0.2,3.4,37.0,-6.0,True,9,unspecified,True,,0,dataset_level,0,review_state
farina00,farina di frumento 00,"Cereali, pane e derivati",g,364.0,10.3,76.3,1.0,2.7,355.4,8.6,True,7,unspecified,True,,0,dataset_level,0,review_state
farro,farro secco,"Cereali, pane e derivati",g,340.0,15.0,67.0,2.5,7.0,350.5,-10.5,False,0,dry,False,,0,dataset_level,0,core_ready
fave,fave cotte,Legumi e conserve,g,110.0,7.6,19.7,0.4,5.4,112.8,-2.8,False,0,cooked,False,,0,dataset_level,0,core_ready
fesa_affettata,fesa di tacchino arrosto,Carne e affettati,g,110.0,20.0,1.0,2.0,0.0,102.0,8.0,False,0,prepared,False,,0,dataset_level,0,core_ready
feta,feta,Latticini e uova,g,265.0,14.0,4.0,21.0,0.0,261.0,4.0,True,38,unspecified,True,,0,dataset_level,0,review_state
fette_bianche,fette biscottate classiche,"Cereali, pane e derivati",g,410.0,10.0,76.0,7.0,3.0,407.0,3.0,True,37,cooked,False,,0,dataset_level,0,core_ready
fette_integrali,fette biscottate integrali,"Cereali, pane e derivati",g,400.0,11.0,72.0,8.0,7.0,404.0,-4.0,True,2,cooked,False,,0,dataset_level,0,core_ready
fico,fichi freschi,Ortofrutta,g,74.0,0.8,19.0,0.3,2.9,81.9,-7.9,True,12,unspecified,True,,0,dataset_level,0,review_state
finocchio,finocchi,Ortofrutta,g,31.0,1.2,7.3,0.2,3.1,35.8,-4.8,True,33,unspecified,True,,0,dataset_level,0,review_state
fiocchi_latte,fiocchi di latte,Latticini e uova,g,98.0,11.1,3.4,4.3,0.0,96.7,1.3,True,19,unspecified,True,,0,dataset_level,0,review_state
frutti_bosco,"frutti di bosco, anche surgelati",Ortofrutta,g,50.0,1.0,12.0,0.4,5.0,55.6,-5.6,False,0,unspecified,True,,0,dataset_level,0,review_state
funghi,funghi,Ortofrutta,g,22.0,3.1,3.3,0.3,1.0,28.3,-6.3,True,20,unspecified,True,,0,dataset_level,0,review_state
gallette_riso,gallette di riso,"Cereali, pane e derivati",g,387.0,8.0,81.0,3.0,4.0,383.0,4.0,True,50,unspecified,True,,0,dataset_level,0,review_state
gamberi,gamberi,Pesce,g,99.0,24.0,0.2,0.3,0.0,99.5,-0.5,True,8,unspecified,True,,0,dataset_level,0,review_state
gnocchi,gnocchi di patate,"Cereali, pane e derivati",g,150.0,3.5,31.0,1.0,2.0,147.0,3.0,False,0,unspecified,True,,0,dataset_level,0,review_state
grana,Grana Padano o Parmigiano,Latticini e uova,g,398.0,33.0,0.0,29.0,0.0,393.0,5.0,True,62,unspecified,True,,0,dataset_level,0,review_state
grano_saraceno,grano saraceno secco,"Cereali, pane e derivati",g,343.0,13.0,72.0,3.4,10.0,370.6,-27.6,False,0,dry,False,,0,dataset_level,0,core_ready
hummus,hummus semplice senza spezie piccanti,Legumi e conserve,g,166.0,7.9,14.3,9.6,6.0,175.2,-9.2,True,12,unspecified,True,,0,dataset_level,0,review_state
indivia,indivia,Ortofrutta,g,17.0,1.3,3.4,0.2,3.1,20.6,-3.6,False,0,unspecified,True,,0,dataset_level,0,review_state
kefir,kefir naturale,Latticini e uova,ml,55.0,3.5,4.5,2.5,0.0,54.5,0.5,True,42,unspecified,True,,0,dataset_level,0,review_state
kiwi,kiwi,Ortofrutta,g,61.0,1.1,15.0,0.5,3.0,68.9,-7.9,True,24,unspecified,True,,0,dataset_level,0,review_state
latte_cocco_light,latte di cocco light,Condimenti e dispensa,ml,75.0,0.7,2.5,7.0,0.0,75.8,-0.8,True,5,unspecified,True,,0,dataset_level,0,review_state
latte_ps,latte parzialmente scremato,Latticini e uova,ml,46.0,3.3,4.8,1.6,0.0,46.8,-0.8,True,86,unspecified,True,,0,dataset_level,0,review_state
lattuga,lattuga,Ortofrutta,g,15.0,1.4,2.9,0.2,1.3,19.0,-4.0,True,5,unspecified,True,,0,dataset_level,0,review_state
lenticchie,lenticchie cotte e sgocciolate,Legumi e conserve,g,116.0,9.0,20.0,0.4,8.0,119.6,-3.6,True,2,drained,False,,0,dataset_level,0,core_ready
lupini,lupini scolati,Legumi e conserve,g,119.0,15.6,9.9,2.9,2.8,128.1,-9.1,True,6,unspecified,True,,0,dataset_level,0,review_state
maiale_filetto,filetto di maiale,Carne e affettati,g,143.0,22.0,0.0,5.0,0.0,133.0,10.0,True,8,unspecified,True,,0,dataset_level,0,review_state
mais,mais dolce sgocciolato,Ortofrutta,g,86.0,3.4,19.0,1.2,2.7,100.4,-14.4,True,11,drained,False,,0,dataset_level,0,core_ready
mandarino,mandarini o clementine,Ortofrutta,g,53.0,0.8,13.3,0.3,1.8,59.1,-6.1,True,35,unspecified,True,,0,dataset_level,0,review_state
mandorle,mandorle,Frutta secca e semi,g,579.0,21.2,21.6,49.9,12.5,620.3,-41.3,True,16,unspecified,True,,0,dataset_level,0,review_state
manzo_magro,manzo magro,Carne e affettati,g,150.0,22.0,0.0,6.0,0.0,142.0,8.0,True,15,unspecified,True,,0,dataset_level,0,review_state
marmellata,confettura di frutta,Condimenti e dispensa,g,250.0,0.3,62.0,0.1,1.0,250.1,-0.1,True,27,unspecified,True,,0,dataset_level,0,review_state
mela,mela,Ortofrutta,g,52.0,0.3,14.0,0.2,2.4,59.0,-7.0,True,51,unspecified,True,,0,dataset_level,0,review_state
melagrana,chicchi di melagrana,Ortofrutta,g,83.0,1.7,18.7,1.2,4.0,92.4,-9.4,True,13,unspecified,True,,0,dataset_level,0,review_state
melanzana,melanzane,Ortofrutta,g,25.0,1.0,6.0,0.2,3.0,29.8,-4.8,True,6,unspecified,True,,0,dataset_level,0,review_state
merluzzo,merluzzo,Pesce,g,82.0,18.0,0.0,0.7,0.0,78.3,3.7,True,8,unspecified,True,,0,dataset_level,0,review_state
miele,miele,Condimenti e dispensa,g,304.0,0.3,82.0,0.0,0.0,329.2,-25.2,True,34,unspecified,True,,0,dataset_level,0,review_state
mozzarella,mozzarella vaccina,Latticini e uova,g,250.0,18.0,2.0,19.0,0.0,251.0,-1.0,True,41,unspecified,True,,0,dataset_level,0,review_state
nasello,nasello,Pesce,g,86.0,19.0,0.0,1.0,0.0,85.0,1.0,True,4,unspecified,True,,0,dataset_level,0,review_state
nocciole,nocciole,Frutta secca e semi,g,628.0,15.0,17.0,61.0,9.7,677.0,-49.0,True,20,unspecified,True,,0,dataset_level,0,review_state
noci,noci,Frutta secca e semi,g,654.0,15.2,13.7,65.2,6.7,702.4,-48.4,True,5,unspecified,True,,0,dataset_level,0,review_state
noodles_riso,spaghetti di riso secchi,"Cereali, pane e derivati",g,364.0,5.8,80.0,0.6,1.0,348.6,15.4,True,8,dry,False,,0,dataset_level,0,core_ready
olio,olio extravergine di oliva,Condimenti e dispensa,g,884.0,0.0,0.0,100.0,0.0,900.0,-16.0,True,178,unspecified,True,,0,dataset_level,0,review_state
orata,orata,Pesce,g,121.0,20.7,0.0,4.1,0.0,119.7,1.3,True,2,unspecified,True,,0,dataset_level,0,review_state
orzo,orzo perlato secco,"Cereali, pane e derivati",g,354.0,12.0,73.0,2.3,9.0,360.7,-6.7,False,0,dry,False,,0,dataset_level,0,core_ready
pane_bianco,pane bianco comune,"Cereali, pane e derivati",g,265.0,8.5,49.0,3.2,2.7,258.8,6.2,True,148,unspecified,True,,0,dataset_level,0,review_state
pane_integrale,pane integrale,"Cereali, pane e derivati",g,250.0,9.0,43.0,4.0,6.5,244.0,6.0,True,29,unspecified,True,,0,dataset_level,0,review_state
pane_segale,pane di segale,"Cereali, pane e derivati",g,259.0,8.5,48.0,3.3,5.8,255.7,3.3,True,10,unspecified,True,,0,dataset_level,0,review_state
pangrattato,pangrattato,"Cereali, pane e derivati",g,351.0,13.0,72.0,4.0,5.0,376.0,-25.0,True,15,unspecified,True,,0,dataset_level,0,review_state
passata,passata di pomodoro,Condimenti e dispensa,g,35.0,1.5,6.0,0.2,1.5,31.8,3.2,False,0,unspecified,True,,0,dataset_level,0,review_state
pasta,pasta secca,"Cereali, pane e derivati",g,353.0,12.5,72.0,1.5,3.0,351.5,1.5,True,13,dry,False,,0,dataset_level,0,core_ready
pasta_integrale,pasta integrale secca,"Cereali, pane e derivati",g,350.0,13.0,67.0,2.5,8.0,342.5,7.5,True,3,dry,False,,0,dataset_level,0,core_ready
patata,patate,"Cereali, pane e derivati",g,77.0,2.0,17.0,0.1,2.2,76.9,0.1,True,94,unspecified,True,,0,dataset_level,0,review_state
patata_dolce,patata dolce,"Cereali, pane e derivati",g,86.0,1.6,20.0,0.1,3.0,87.3,-1.3,False,0,unspecified,True,,0,dataset_level,0,review_state
pera,pera,Ortofrutta,g,57.0,0.4,15.0,0.1,3.1,62.5,-5.5,True,49,unspecified,True,,0,dataset_level,0,review_state
piadina,piadina classica,"Cereali, pane e derivati",g,330.0,8.0,52.0,10.0,2.5,330.0,0.0,True,31,unspecified,True,,0,dataset_level,0,review_state
piselli,piselli cotti,Legumi e conserve,g,81.0,5.4,14.0,0.4,5.7,81.2,-0.2,True,3,cooked,False,,0,dataset_level,0,core_ready
pistacchi,pistacchi non salati,Frutta secca e semi,g,562.0,20.0,28.0,45.0,10.0,597.0,-35.0,False,0,unspecified,True,,0,dataset_level,0,review_state
polenta,farina di mais per polenta,"Cereali, pane e derivati",g,360.0,8.0,78.0,1.5,3.5,357.5,2.5,True,18,unspecified,True,,0,dataset_level,0,review_state
pollo,petto di pollo,Carne e affettati,g,110.0,23.0,0.0,1.5,0.0,105.5,4.5,True,58,unspecified,True,,0,dataset_level,0,review_state
polpo,polpo,Pesce,g,82.0,15.0,2.2,1.0,0.0,77.8,4.2,False,0,unspecified,True,,0,dataset_level,0,review_state
pomodoro,pomodori,Ortofrutta,g,18.0,0.9,3.9,0.2,1.2,21.0,-3.0,True,29,unspecified,True,,0,dataset_level,0,review_state
pompelmo,pompelmo,Ortofrutta,g,42.0,0.8,10.7,0.1,1.6,46.9,-4.9,True,9,unspecified,True,,0,dataset_level,0,review_state
porro,porro,Ortofrutta,g,61.0,1.5,14.2,0.3,1.8,65.5,-4.5,False,0,unspecified,True,,0,dataset_level,0,review_state
primosale,formaggio primosale,Latticini e uova,g,270.0,18.0,2.0,21.0,0.0,269.0,1.0,True,61,unspecified,True,,0,dataset_level,0,review_state
prosciutto_cotto,prosciutto cotto sgrassato,Carne e affettati,g,145.0,20.0,1.5,6.0,0.0,140.0,5.0,True,16,cooked,False,,0,dataset_level,0,core_ready
prosciutto_crudo,prosciutto crudo sgrassato,Carne e affettati,g,220.0,28.0,0.0,12.0,0.0,220.0,0.0,False,0,raw,False,,0,dataset_level,0,core_ready
prugna,prugne fresche,Ortofrutta,g,46.0,0.7,11.4,0.3,1.4,51.1,-5.1,True,5,unspecified,True,,0,dataset_level,0,review_state
radicchio,radicchio,Ortofrutta,g,23.0,1.4,4.5,0.3,0.9,26.3,-3.3,True,25,unspecified,True,,0,dataset_level,0,review_state
rapa,rape,Ortofrutta,g,28.0,0.9,6.4,0.1,1.8,30.1,-2.1,False,0,unspecified,True,,0,dataset_level,0,review_state
ricotta,ricotta vaccina,Latticini e uova,g,146.0,8.8,3.5,10.9,0.0,147.3,-1.3,True,77,cooked,False,,0,dataset_level,0,core_ready
riso_basmati,riso basmati secco,"Cereali, pane e derivati",g,356.0,8.0,78.0,0.8,1.5,351.2,4.8,True,78,dry,False,,0,dataset_level,0,core_ready
riso_integrale,riso integrale secco,"Cereali, pane e derivati",g,360.0,7.5,76.0,2.7,3.5,358.3,1.7,True,22,dry,False,,0,dataset_level,0,core_ready
riso_jasmine,riso jasmine secco,"Cereali, pane e derivati",g,356.0,7.5,79.0,0.7,1.0,352.3,3.7,True,17,dry,False,,0,dataset_level,0,core_ready
robiola,robiola,Latticini e uova,g,310.0,9.0,3.0,29.0,0.0,309.0,1.0,True,35,unspecified,True,,0,dataset_level,0,review_state
salmone,salmone,Pesce,g,208.0,20.0,0.0,13.0,0.0,197.0,11.0,True,24,unspecified,True,,0,dataset_level,0,review_state
salsa_soia,salsa di soia delicata,Condimenti e dispensa,g,53.0,8.0,5.0,0.6,0.0,57.4,-4.4,True,31,unspecified,True,,0,dataset_level,0,review_state
sardine,sardine,Pesce,g,208.0,25.0,0.0,11.0,0.0,199.0,9.0,False,0,unspecified,True,,0,dataset_level,0,review_state
sedano,sedano,Ortofrutta,g,16.0,0.7,3.0,0.2,1.6,16.6,-0.6,False,0,unspecified,True,,0,dataset_level,0,review_state
sedano_rapa,sedano rapa,Ortofrutta,g,42.0,1.5,9.2,0.3,1.8,45.5,-3.5,True,7,unspecified,True,,0,dataset_level,0,review_state
semi_zucca,semi di zucca,Frutta secca e semi,g,559.0,30.0,11.0,49.0,6.0,605.0,-46.0,False,0,unspecified,True,,0,dataset_level,0,review_state
semolino,semolino di frumento,"Cereali, pane e derivati",g,360.0,12.0,73.0,1.2,3.6,350.8,9.2,True,3,unspecified,True,,0,dataset_level,0,review_state
sesamo,semi di sesamo,Frutta secca e semi,g,573.0,18.0,23.0,50.0,12.0,614.0,-41.0,True,14,unspecified,True,,0,dataset_level,0,review_state
sgombro,sgombro,Pesce,g,205.0,19.0,0.0,14.0,0.0,202.0,3.0,True,3,unspecified,True,,0,dataset_level,0,review_state
sogliola,sogliola,Pesce,g,83.0,18.0,0.0,1.4,0.0,84.6,-1.6,True,3,unspecified,True,,0,dataset_level,0,review_state
spinaci,spinaci,Ortofrutta,g,23.0,2.9,3.6,0.4,2.2,29.6,-6.6,True,42,unspecified,True,spinaci ben cotti,0,dataset_level,0,review_state
tacchino,petto di tacchino,Carne e affettati,g,110.0,24.0,0.0,1.2,0.0,106.8,3.2,True,55,unspecified,True,,0,dataset_level,0,review_state
tacchino_affettato,fesa di tacchino a fette,Carne e affettati,g,105.0,20.0,2.0,1.5,0.0,101.5,3.5,True,22,unspecified,True,,0,dataset_level,0,review_state
tonno_naturale,tonno al naturale sgocciolato,Pesce,g,116.0,26.0,0.0,1.0,0.0,113.0,3.0,True,11,drained,False,,0,dataset_level,0,core_ready
tortilla,tortilla di frumento,"Cereali, pane e derivati",g,310.0,8.0,52.0,8.0,3.0,312.0,-2.0,True,13,unspecified,True,,0,dataset_level,0,review_state
trota,trota,Pesce,g,148.0,20.5,0.0,7.0,0.0,145.0,3.0,True,4,unspecified,True,,0,dataset_level,0,review_state
uovo,uovo intero,Latticini e uova,g,143.0,12.6,0.7,9.5,0.0,138.7,4.3,True,90,unspecified,True,uovo,1,dataset_level,0,review_state
uva,uva,Ortofrutta,g,69.0,0.7,18.0,0.2,0.9,76.6,-7.6,True,8,unspecified,True,,0,dataset_level,0,review_state
verza,verza,Ortofrutta,g,27.0,2.0,6.1,0.1,3.1,33.3,-6.3,False,0,unspecified,True,,0,dataset_level,0,review_state
yogurt_bianco,yogurt bianco naturale,Latticini e uova,g,63.0,4.0,5.0,3.0,0.0,63.0,0.0,True,55,unspecified,True,,0,dataset_level,0,review_state
zucca,zucca,Ortofrutta,g,26.0,1.0,6.5,0.1,0.5,30.9,-4.9,True,42,unspecified,True,,0,dataset_level,0,review_state
zucchina,zucchine,Ortofrutta,g,17.0,1.2,3.1,0.3,1.0,19.9,-2.9,True,26,unspecified,True,,0,dataset_level,0,review_state
